Init Random
[132 28 119]
[39 72 86]
[41 59 140]
[104 86 8]
[69 32 49]
[5 56 126]
[25 89 144]
[8 99 27]
[35 45 67]
[125 134 88]
[17 125 110]
[47 64 126]
[32 52 5]
[69 140 134]
[81 110 78]
[94 92 1]
[115 90 6]
[92 48 111]
[121 104 73]
[75 44 3]
[136 122 36]
[90 56 111]
[50 49 53]
[88 2 40]
[144 110 61]
[91 130 83]
[41 13 70]
[56 29 74]
[134 93 74]
[111 103 27]
[139 132 102]
[101 83 15]
[118 10 41]
[11 4 144]
[51 44 42]
[40 8 74]
[7 29 44]
[51 112 56]
[55 23 36]
[30 45 77]
[47 73 41]
[96 55 132]
[45 133 87]
[46 9 103]
[70 48 86]
[77 132 29]
[47 74 73]
[96 23 54]
[79 141 50]
[99 59 30]
[21 76 12]
[143 130 19]
[129 82 69]
[61 122 147]
[1 121 91]
[52 80 76]
[40 134 96]
[39 83 108]
[98 75 94]
[113 69 82]
[115 54 140]
[73 55 54]
[17 66 9]
[66 113 60]
[69 66 109]
[94 69 107]
[98 80 56]
[39 105 54]
[100 126 51]
[119 105 85]
[0 133 13]
[37 148 143]
[83 66 134]
[51 89 38]
[19 32 100]
[1 129 146]
[1 20 37]
[78 105 83]
[42 67 44]
[67 71 106]
[118 16 103]
[27 34 90]
[113 75 50]
[68 75 98]
[47 137 134]
[66 16 8]
[125 43 36]
[130 34 117]
[13 32 138]
[62 95 109]
[103 58 112]
[59 108 145]
[22 87 97]
[96 41 31]
[94 80 76]
[53 39 36]
[128 20 127]
[2 130 76]
[25 149 125]
[26 63 149]
[109 1 116]
[149 108 97]
[142 75 59]
[135 80 149]
[89 86 41]
[149 16 115]
[29 142 104]
[130 85 40]
[134 8 30]
[56 71 87]
[114 148 58]
[54 27 141]
[39 134 30]
[59 27 36]
[127 73 52]
[20 9 66]
[80 79 139]
[39 44 141]
[76 113 93]
[29 7 3]
[45 93 100]
[123 109 68]
[133 136 54]
[131 116 48]
[123 125 83]
[60 17 66]
[5 65 83]
[135 102 65]
[78 2 44]
[47 116 1]
[83 139 32]
[18 62 109]
[22 102 53]
[20 148 8]
[55 87 51]
[11 13 135]
[111 47 121]
[137 128 40]
[48 57 146]
[90 79 125]
[123 94 72]
[7 94 99]
[62 28 87]
[116 88 1]
[3 93 68]
[105 87 139]
[111 57 37]
[5 16 29]
[43 21 101]
[25 54 20]
[122 95 66]
[73 100 114]
[5 2 102]
[10 54 137]
[39 99 122]
[11 136 129]
[72 62 89]
[132 23 77]
[129 52 70]
[100 13 143]
[98 135 130]
[131 35 38]
[127 22 33]
[8 21 6]
[131 20 78]
[129 99 111]
[36 43 66]
[46 43 19]
[100 148 3]
[136 115 32]
[93 41 138]
[28 10 79]
[64 109 0]
[108 104 118]
[1 109 70]
[40 3 9]
[115 87 46]
[87 24 84]
[0 34 14]
[33 144 72]
[2 137 72]
[28 93 68]
[86 78 52]
[47 59 148]
[77 114 36]
[132 95 104]
[65 33 121]
[130 79 99]
[73 105 92]
[140 143 146]
[60 59 147]
[66 82 100]
[36 83 14]
[68 97 143]
[25 107 9]
[116 93 1]
[119 96 118]
[29 7 12]
[73 74 123]
[9 115 87]
[131 104 55]
[139 27 149]
[9 110 66]
[122 101 70]
[129 81 131]
[123 129 24]
[80 23 97]
[46 62 21]
[22 72 92]
[13 31 66]
[140 132 146]
[120 77 20]
[69 116 146]
[126 33 133]
[76 4 111]
[118 98 133]
[15 127 51]
[43 118 23]
[58 96 53]
[94 86 149]
[25 71 87]
[82 94 77]
[20 116 17]
[90 33 15]
[117 132 29]
[121 120 27]
[74 75 107]
[100 28 127]
[133 27 67]
[131 79 31]
[58 51 143]
[142 31 129]
[38 120 9]
[31 70 107]
[73 85 18]
[57 129 12]
[71 98 23]
[1 25 34]
[98 88 134]
[107 82 111]
[127 123 28]
[117 112 137]
[138 136 132]
[81 94 21]
[79 74 20]
[74 11 102]
[27 1 149]
[88 120 148]
[99 105 149]
[130 40 143]
[143 50 114]
[88 55 19]
[111 134 25]
[70 139 21]
[125 120 131]
[80 64 92]
[100 107 40]
[128 137 96]
[55 100 96]
[89 52 104]
[13 25 148]
[72 75 65]
[114 46 48]
[56 9 149]
[52 25 114]
[135 112 127]
[109 73 9]
[144 62 49]
[26 10 116]
[19 103 51]
[5 127 113]
[92 129 49]
[93 144 57]
[81 124 42]
[85 123 143]
[9 100 70]
[71 31 40]
[88 131 120]
[23 27 120]
[110 139 136]
[9 88 110]
[143 96 35]
[35 10 50]
[33 116 38]
[19 15 20]
[61 65 24]
[4 80 78]
[77 35 75]
[61 25 131]
[56 77 57]
[44 2 41]
[27 134 20]
[69 24 22]
[135 136 10]
[148 75 107]
[86 130 87]
[132 66 134]
[10 104 114]
[149 60 92]
[144 12 120]
[55 69 125]
[102 88 129]
[41 86 85]
[49 102 21]
[131 111 49]
[70 87 82]
[136 17 18]
[138 25 26]
[15 74 53]
[39 52 84]
[135 24 84]
[56 65 24]
[131 97 146]
[52 39 63]
[107 123 20]
[115 92 124]
[9 64 53]
[17 134 120]
[148 10 63]
[8 108 116]
[69 35 31]
[58 66 108]
[129 117 94]
[1 75 32]
[142 139 78]
[92 16 35]
[145 125 76]
[68 84 101]
[115 114 126]
[97 6 5]
[133 23 43]
[87 33 4]
[101 136 78]
[14 72 129]
[79 65 123]
[148 6 14]
[82 57 15]
[135 54 78]
[85 83 32]
[13 17 32]
[39 113 62]
[52 147 108]
[41 116 51]
[107 149 87]
[18 37 77]
[94 71 79]
[59 17 124]
[74 62 9]
[100 13 50]
[71 69 13]
[124 8 66]
[24 43 78]
[23 90 130]
[91 133 14]
[17 113 63]
[121 88 23]
[34 104 120]
[60 2 37]
[31 34 45]
[25 46 138]
[114 145 122]
[142 51 23]
[55 132 8]
[50 98 132]
[10 72 40]
[113 46 104]
[2 101 75]
[66 15 88]
[75 102 121]
[77 34 85]
[148 49 76]
[115 35 77]
[84 54 48]
[57 127 24]
[84 124 76]
[146 4 68]
[44 45 93]
[144 119 141]
[1 75 144]
[84 32 41]
[31 34 70]
[132 93 135]
[128 7 41]
[131 60 70]
[66 120 124]
[67 106 111]
[87 58 67]
[85 57 2]
[95 77 61]
[27 120 15]
[20 1 98]
[67 0 39]
[90 70 88]
[61 81 83]
[105 83 10]
[94 120 51]
[133 17 24]
[14 21 40]
[107 106 79]
[9 142 110]
[5 69 44]
[95 65 119]
[2 40 141]
[126 136 149]
[105 49 78]
[32 75 33]
[80 101 112]
[86 127 13]
[92 114 52]
[103 137 145]
[51 25 136]
[31 126 72]
[140 81 63]
[93 1 45]
[82 135 8]
[19 27 10]
[53 140 125]
[24 58 124]
[67 118 92]
[95 16 66]
[4 132 7]
[112 101 130]
[128 113 25]
[64 114 69]
[34 23 28]
[17 54 92]
[70 22 104]
[56 111 31]
[129 23 45]
[140 16 48]
[73 68 82]
[74 36 138]
[100 81 60]
[8 50 123]
[120 75 117]
[149 127 58]
[15 149 101]
[84 103 70]
[120 110 15]
[94 49 73]
[64 139 110]
[103 16 100]
[49 72 141]
[50 5 129]
[95 11 17]
[28 24 142]
[20 26 42]
[91 24 89]
[67 111 97]
[121 15 36]
[129 22 40]
[1 2 15]
[137 115 107]
[133 89 143]
[94 1 53]
[115 2 45]
[16 142 114]
[23 19 108]
[47 21 83]
[85 118 87]
[119 138 114]
[66 129 76]
[36 123 136]
[126 88 138]
[39 108 139]
[52 124 2]
[125 3 68]
[52 136 149]
[126 73 30]
[41 22 83]
[67 85 53]
[88 50 33]
[109 23 31]
[103 4 26]
[148 102 147]
[28 76 37]
[6 38 9]
[22 47 102]
[32 55 60]
[13 102 25]
[27 52 80]
[30 149 82]
[39 143 64]
[69 16 44]
[120 130 0]
[96 13 27]
[111 84 20]
[144 46 101]
[53 147 143]
[44 112 49]
[81 131 112]
[95 47 26]
[7 116 83]
[58 4 120]
[87 94 45]
[103 56 115]
[136 25 33]
[24 134 31]
[128 50 55]
[116 117 67]
[10 88 148]
[47 108 121]
[133 112 41]
[134 66 57]
[58 141 98]
[6 46 87]
[110 1 19]
[7 131 34]
[46 109 20]
[67 48 107]
[143 106 33]
[31 52 123]
[55 113 8]
[12 14 10]
[136 60 134]
[63 10 116]
[86 75 87]
[3 36 114]
[130 28 46]
[109 75 42]
[23 44 61]
[68 78 131]
[149 72 12]
[86 138 108]
[139 97 149]
[146 109 99]
[13 146 97]
[66 71 31]
[95 27 137]
[19 73 81]
[100 148 31]
[139 5 119]
[2 92 11]
[124 144 73]
[146 42 129]
[78 48 143]
[61 42 33]
[102 0 120]
[131 140 95]
[138 77 27]
[58 8 6]
[148 142 47]
[121 118 46]
[55 3 114]
[90 35 116]
[127 74 135]
[81 50 44]
[23 112 149]
[129 54 57]
[64 91 69]
[105 46 14]
[44 142 46]
[142 43 75]
[63 111 43]
[22 61 78]
[45 113 6]
[93 85 22]
[81 94 36]
[95 119 56]
[76 137 63]
[67 29 58]
[128 102 62]
[29 86 124]
[125 135 41]
[71 48 40]
[6 87 18]
[24 66 48]
[93 28 100]
[99 122 65]
[58 56 123]
[126 142 103]
[115 85 27]
[9 38 140]
[100 87 121]
[61 53 134]
[35 15 123]
[145 110 147]
[120 24 114]
[84 41 50]
[44 2 69]
[120 100 109]
[117 63 59]
[141 29 61]
[136 76 78]
[33 114 117]
[30 117 90]
[112 145 119]
[30 124 33]
[77 117 82]
[143 65 21]
[97 51 91]
[51 123 90]
[117 91 59]
[0 119 23]
[42 6 67]
[9 73 8]
[104 80 53]
[72 32 132]
[39 60 34]
[28 129 63]
[29 80 19]
[32 53 148]
[47 1 108]
[3 124 78]
[76 31 14]
[18 32 120]
[71 22 118]
[70 98 132]
[106 91 100]
[148 90 80]
[17 37 28]
[84 14 77]
[11 40 47]
[48 32 109]
[49 73 46]
[57 82 113]
[50 104 52]
[77 24 65]
[70 20 10]
[25 46 144]
[121 1 44]
[2 78 66]
[34 31 133]
[37 60 131]
[70 56 95]
[96 70 140]
[27 94 59]
[34 1 115]
[139 41 114]
[70 49 29]
[91 82 17]
[85 76 57]
[120 73 46]
[29 149 121]
[45 91 125]
[88 74 40]
[73 117 128]
[8 91 105]
[50 3 67]
[149 73 7]
[47 31 68]
[88 111 89]
[1 8 133]
[2 148 36]
[88 32 145]
[50 122 94]
[147 90 87]
[47 45 77]
[71 33 124]
[4 52 139]
[104 23 112]
[112 137 50]
[143 75 84]
[23 96 9]
[55 47 63]
[101 118 84]
[119 37 56]
[126 103 105]
[95 42 75]
[14 49 98]
[117 139 10]
[29 90 93]
[147 10 91]
[36 48 32]
[24 115 75]
[129 76 5]
[108 95 45]
[82 111 49]
[52 20 107]
Init PlusPlus
[101 127 94]
[77 107 22]
[5 56 99]
[91 43 117]
[144 6 117]
[88 55 67]
[39 128 94]
[51 113 40]
[112 47 129]
[61 98 110]
[81 41 126]
[52 33 144]
[134 58 86]
[101 46 78]
[13 121 147]
[25 104 111]
[122 71 57]
[47 55 134]
[86 90 40]
[116 4 117]
[52 123 46]
[129 127 82]
[18 99 111]
[66 133 68]
[131 107 99]
[15 52 132]
[11 60 76]
[138 2 124]
[27 47 91]
[10 57 110]
[144 71 65]
[87 131 9]
[91 50 115]
[139 134 118]
[40 129 104]
[58 60 115]
[64 124 91]
[54 142 61]
[54 104 138]
[12 123 90]
[27 68 113]
[27 101 92]
[128 108 51]
[107 34 61]
[121 13 143]
[74 131 140]
[108 100 81]
[75 121 128]
[87 127 142]
[40 78 110]
[148 102 91]
[22 96 138]
[149 120 52]
[68 128 91]
[17 51 74]
[97 22 54]
[86 100 60]
[122 34 108]
[47 117 63]
[32 141 108]
[39 136 146]
[148 116 104]
[138 81 12]
[38 67 59]
[117 121 109]
[63 59 79]
[124 75 139]
[139 114 105]
[80 147 138]
[65 58 37]
[25 86 110]
[46 100 86]
[64 117 113]
[81 98 55]
[140 74 104]
[139 131 66]
[130 42 115]
[110 46 119]
[26 139 112]
[69 75 117]
[132 143 64]
[59 130 143]
[67 82 110]
[137 129 13]
[81 50 68]
[78 73 59]
[105 74 108]
[88 49 69]
[17 101 79]
[29 79 4]
[92 134 141]
[80 55 58]
[25 102 106]
[57 112 87]
[67 121 141]
[111 59 100]
[113 35 114]
[75 134 145]
[113 51 100]
[146 89 25]
[26 122 112]
[38 79 107]
[25 110 125]
[29 86 68]
[127 60 102]
[88 69 76]
[29 24 103]
[69 85 127]
[129 62 109]
[0 110 11]
[120 88 64]
[110 117 138]
[143 108 4]
[63 141 144]
[10 96 125]
[59 102 121]
[28 126 2]
[61 132 54]
[33 88 119]
[132 94 135]
[82 51 144]
[146 79 119]
[85 101 100]
[74 140 93]
[12 96 88]
[7 141 101]
[49 138 24]
[79 109 21]
[95 1 83]
[138 142 61]
[68 133 33]
[97 60 54]
[43 55 138]
[84 98 119]
[46 125 50]
[21 37 103]
[113 85 7]
[117 138 108]
[41 102 15]
[52 145 148]
[58 52 48]
[57 109 106]
[7 142 116]
[108 121 65]
[49 79 98]
[38 136 12]
[94 1 53]
[39 144 56]
[38 140 7]
[112 68 121]
[119 130 117]
[22 99 20]
[114 46 99]
[31 71 62]
[17 109 91]
[116 14 127]
[48 70 78]
[104 40 109]
[146 51 11]
[129 105 130]
[77 118 138]
[39 68 33]
[35 98 112]
[11 116 55]
[56 145 86]
[93 121 104]
[72 90 86]
[53 92 106]
[115 84 59]
[100 46 124]
[75 97 121]
[141 118 110]
[9 123 23]
[44 75 129]
[107 89 19]
[10 66 111]
[89 115 140]
[47 99 145]
[122 117 103]
[46 78 129]
[91 135 73]
[122 125 65]
[39 84 40]
[117 101 50]
[112 117 37]
[0 140 144]
[53 111 126]
[1 14 58]
[2 106 100]
[56 145 112]
[115 105 0]
[136 55 125]
[88 135 120]
[96 48 140]
[39 94 67]
[101 68 40]
[85 89 9]
[7 140 73]
[64 95 144]
[58 101 132]
[79 144 127]
[114 101 98]
[113 95 79]
[123 56 28]
[69 40 93]
[101 106 93]
[53 103 88]
[18 141 68]
[3 112 110]
[137 24 128]
[146 106 116]
[45 111 106]
[129 91 96]
[137 108 95]
[58 46 133]
[15 107 124]
[20 114 101]
[74 91 116]
[51 136 63]
[44 55 65]
[74 81 72]
[35 134 124]
[52 142 67]
[74 143 70]
[103 146 76]
[112 110 82]
[2 115 14]
[129 101 134]
[31 40 140]
[30 102 128]
[79 33 90]
[120 75 139]
[77 129 125]
[39 85 133]
[59 122 61]
[21 53 117]
[21 103 60]
[58 140 120]
[76 57 133]
[7 104 129]
[96 148 106]
[63 92 123]
[10 118 111]
[53 106 135]
[11 72 117]
[57 100 32]
[95 128 49]
[9 84 108]
[19 2 134]
[144 109 77]
[9 14 12]
[101 70 127]
[113 124 144]
[7 113 84]
[106 79 125]
[14 88 133]
[66 84 98]
[112 142 143]
[93 133 94]
[116 135 127]
[130 138 87]
[145 129 106]
[28 37 88]
[58 6 117]
[12 55 116]
[70 128 145]
[101 125 134]
[71 72 130]
[23 75 77]
[65 111 77]
[39 99 67]
[90 106 114]
[29 9 129]
[41 106 110]
[121 73 95]
[1 59 55]
[19 136 135]
[26 116 92]
[115 148 75]
[55 134 93]
[96 136 120]
[50 86 34]
[63 75 26]
[100 141 142]
[28 61 114]
[56 112 139]
[108 62 118]
[86 94 72]
[107 58 117]
[22 33 108]
[4 88 49]
[6 48 140]
[71 65 146]
[145 80 137]
[25 69 127]
[55 28 53]
[102 131 111]
[27 139 92]
[129 76 133]
[138 98 64]
[1 117 101]
[97 27 40]
[147 25 95]
[99 97 13]
[132 52 117]
[27 90 74]
[5 53 118]
[40 71 140]
[125 2 115]
[122 128 117]
[106 89 128]
[40 88 84]
[13 90 87]
[139 44 121]
[107 147 51]
[91 141 126]
[7 70 101]
[116 53 145]
[38 103 145]
[80 130 67]
[63 146 138]
[111 62 58]
[78 134 106]
[132 101 126]
[10 138 143]
[51 59 42]
[15 105 134]
[2 26 102]
[31 146 123]
[77 63 99]
[79 140 134]
[137 60 124]
[78 101 72]
[136 133 49]
[61 95 144]
[137 148 8]
[49 111 52]
[86 78 61]
[61 86 106]
[129 108 91]
[4 113 103]
[9 13 135]
[118 83 146]
[114 76 139]
[104 75 120]
[146 108 87]
[79 138 148]
[6 87 130]
[9 36 56]
[96 7 12]
[14 136 146]
[127 111 73]
[64 98 145]
[23 51 89]
[30 101 110]
[82 64 132]
[11 140 67]
[145 144 104]
[22 89 144]
[107 99 62]
[104 114 119]
[144 51 57]
[65 115 137]
[33 2 34]
[39 61 96]
[9 98 103]
[62 123 146]
[129 141 13]
[123 114 121]
[34 91 147]
[63 131 112]
[45 108 128]
[88 92 86]
[44 99 69]
[115 121 109]
[54 117 97]
[5 95 91]
[2 114 146]
[8 73 44]
[69 108 124]
[94 96 117]
[20 119 148]
[32 86 49]
[84 85 137]
[48 25 40]
[84 93 124]
[119 56 44]
[75 142 64]
[78 136 82]
[98 58 12]
[149 84 137]
[26 125 113]
[52 130 93]
[149 104 118]
[90 2 58]
[99 70 119]
[126 139 61]
[32 114 60]
[16 60 113]
[145 68 36]
[121 98 144]
[9 134 60]
[126 116 140]
[146 86 92]
[74 11 18]
[66 79 83]
[52 88 121]
[67 41 105]
[130 105 128]
[82 83 89]
[148 68 125]
[77 93 136]
[115 94 89]
[105 108 147]
[112 128 81]
[129 140 14]
[4 63 74]
[122 53 106]
[75 52 114]
[17 37 92]
[130 84 55]
[45 140 99]
[82 130 69]
[10 130 45]
[138 23 122]
[140 129 76]
[21 6 147]
[74 97 82]
[31 55 67]
[15 142 100]
[73 134 90]
[31 128 95]
[97 144 40]
[37 148 51]
[66 62 0]
[136 134 96]
[99 85 31]
[60 87 146]
[8 123 136]
[80 91 111]
[47 103 44]
[120 14 65]
[81 117 109]
[148 130 129]
[8 75 93]
[128 147 120]
[82 101 136]
[76 75 72]
[83 114 136]
[148 104 134]
[19 32 93]
[24 15 31]
[10 60 146]
[46 116 109]
[92 13 119]
[116 134 123]
[14 73 90]
[79 131 69]
[50 101 111]
[131 116 77]
[91 92 131]
[24 88 110]
[35 61 89]
[47 146 99]
[80 117 107]
[63 71 132]
[34 53 139]
[95 86 17]
[15 132 114]
[10 139 14]
[42 41 117]
[77 8 83]
[16 66 136]
[68 124 48]
[57 118 14]
[2 118 58]
[52 62 119]
[84 67 14]
[84 44 71]
[11 130 126]
[5 79 108]
[32 79 132]
[122 81 83]
[17 102 103]
[50 123 120]
[130 49 78]
[127 80 123]
[118 49 90]
[137 138 111]
[48 142 139]
[72 125 131]
[118 104 110]
[18 145 76]
[122 108 68]
[99 84 144]
[112 140 111]
[102 51 93]
[15 104 140]
[8 119 55]
[64 1 51]
[93 64 136]
[48 98 117]
[122 145 65]
[11 120 21]
[26 129 56]
[116 91 92]
[41 71 119]
[125 68 112]
[68 78 124]
[126 82 63]
[135 27 72]
[48 109 49]
[134 85 106]
[31 90 140]
[145 14 87]
[121 108 141]
[68 107 140]
[38 131 140]
[100 141 124]
[104 136 112]
[25 67 139]
[142 112 126]
[138 80 89]
[26 141 122]
[70 71 63]
[66 62 4]
[11 71 77]
[143 119 118]
[53 97 88]
[60 107 29]
[97 130 89]
[144 75 92]
[27 128 99]
[38 106 140]
[141 117 144]
[114 105 113]
[19 103 100]
[144 71 17]
[61 49 40]
[40 102 61]
[60 119 44]
[123 127 136]
[39 127 59]
[108 112 74]
[35 120 37]
[76 56 54]
[147 125 89]
[98 110 20]
[92 148 120]
[141 57 115]
[0 27 73]
[139 101 107]
[111 133 48]
[133 104 121]
[111 106 119]
[96 70 66]
[148 143 61]
[37 123 99]
[112 72 145]
[93 58 63]
[17 148 129]
[32 137 121]
[119 37 102]
[102 22 89]
[45 148 100]
[80 49 130]
[57 115 62]
[127 65 142]
[122 5 65]
[137 75 112]
[62 99 123]
[103 107 72]
[104 96 70]
[54 56 77]
[20 142 127]
[135 146 139]
[9 142 97]
[47 63 62]
[97 135 117]
[110 109 14]
[94 148 109]
[25 108 55]
[134 73 99]
[130 75 146]
[44 82 88]
[12 133 119]
[60 120 96]
[22 61 112]
[130 4 9]
[30 84 144]
[6 99 95]
[51 139 65]
[25 106 32]
[99 110 73]
[103 56 135]
[130 99 80]
[131 111 99]
[42 147 85]
[23 95 134]
[8 103 25]
[120 5 102]
[67 52 17]
[32 105 82]
[89 67 125]
[7 48 131]
[141 91 134]
[98 111 145]
[37 140 72]
[143 66 114]
[70 9 75]
[84 90 88]
[10 112 77]
[141 137 103]
[66 129 73]
[141 84 55]
[77 135 61]
[81 2 82]
[43 60 82]
[148 142 2]
[26 112 146]
[136 120 119]
[114 138 135]
[125 119 109]
[124 119 146]
[120 84 59]
[1 99 29]
[103 110 82]
[62 79 131]
[67 72 13]
[37 108 94]
[124 117 93]
[75 113 110]
[46 114 74]
[123 107 114]
[55 108 85]
[124 119 62]
[45 83 55]
[134 111 138]
[47 0 49]
[2 86 118]
[149 141 103]
[80 99 140]
[37 24 116]
[81 136 79]
[65 77 79]
[31 101 63]
[58 118 29]
[34 140 136]
[39 82 123]
[86 68 104]
[21 45 52]
[86 116 42]
[26 58 139]
[35 108 102]
[123 85 77]
[86 49 94]
[99 102 123]
[55 144 104]
[97 82 54]
[31 100 77]
[124 67 20]
[133 40 29]
[70 50 135]
[49 137 91]
[101 124 62]
[19 71 130]
[104 97 106]
[14 75 135]
[13 50 131]
[24 121 143]
[114 117 131]
[141 112 67]
[66 132 44]
[67 134 137]
[7 134 142]
[49 102 58]
[105 123 108]
[40 115 77]
[108 76 30]
[106 24 95]
[37 65 91]
[84 66 108]
[73 131 49]
[102 139 82]
[15 116 106]
[103 86 94]
[61 32 125]
[50 131 78]
[92 52 145]
[27 71 80]
[26 116 139]
[68 90 92]
[122 135 44]
[12 145 132]
[117 40 68]
[35 41 135]
[131 129 143]
[19 108 133]
[61 123 119]
[145 105 114]
[92 96 127]
[98 104 99]
[64 62 51]
[146 63 101]
[50 69 105]
[39 136 109]
[40 0 132]
[35 130 105]
[85 115 93]
[6 69 81]
[75 100 125]
[39 111 113]
[47 130 124]
[76 117 88]
[39 54 108]
[6 101 120]
[19 54 85]
[101 129 70]
[37 91 38]
[46 7 107]
[112 64 130]
[115 132 103]
[22 101 124]
[37 54 68]
[102 119 121]
[115 70 69]
[141 135 82]
[109 118 89]
[134 58 98]
[16 116 115]
[135 45 60]
[122 145 117]
[30 44 40]
[149 80 126]
[80 71 116]
[83 69 99]
[87 58 2]
[106 118 137]
[69 84 128]
[99 128 30]
[38 112 117]
[13 77 115]
[95 59 96]
[90 126 118]
[36 120 75]
[42 113 76]
[99 104 37]
